instance,set,dist_mode,mu,lambda,alpha1,alpha2,seed_rule,tiebreak,vehicles,schedule_time,distance,waiting_time,service_time,cpu_ms,feasible
C204,C2,double,1,2,1,0,far,0,4,10756.2540,1134.0292,622.2248,9000.0000,0,1
C204,C2,double,1,2,1,0,deadline,0,4,10835.6216,1102.8523,732.7693,9000.0000,0,1
C204,C2,double,1,1,0,1,far,0,4,13005.9485,1911.7040,2094.2445,9000.0000,0,1
C204,C2,double,1,1,0,1,deadline,0,4,13156.2387,1337.0403,2819.1984,9000.0000,0,1
C204,C2,double,1,2,0,1,far,0,4,13044.8455,2038.0494,2006.7961,9000.0000,0,1
C204,C2,double,1,2,0,1,deadline,0,4,12730.3439,1393.1410,2337.2029,9000.0000,0,1
C205,C2,trunc,1,1,1,0,far,0,4,9750.9000,707.8000,43.1000,9000.0000,0,1
C205,C2,trunc,1,1,1,0,deadline,0,4,10453.5000,944.7000,508.8000,9000.0000,0,1
C205,C2,trunc,1,2,1,0,far,0,4,9715.0000,667.6000,47.4000,9000.0000,0,1
C205,C2,trunc,1,2,1,0,deadline,0,4,10349.2000,710.8000,638.4000,9000.0000,0,1
C205,C2,trunc,1,1,0,1,far,0,4,11691.1000,1436.4000,1254.7000,9000.0000,0,1
C205,C2,trunc,1,1,0,1,deadline,0,3,9728.0000,728.0000,0.0000,9000.0000,0,1
C205,C2,trunc,1,2,0,1,far,0,4,11792.8000,1400.8000,1392.0000,9000.0000,0,1
C205,C2,trunc,1,2,0,1,deadline,0,3,9613.2000,613.2000,0.0000,9000.0000,0,1
C205,C2,double,1,1,1,0,far,0,4,9753.5314,710.6376,42.8938,9000.0000,0,1
C205,C2,double,1,1,1,0,deadline,0,4,10578.4194,968.7325,609.6869,9000.0000,0,1
C205,C2,double,1,2,1,0,far,0,4,9716.6175,670.2694,46.3482,9000.0000,0,1
C205,C2,double,1,2,1,0,deadline,0,4,10351.6608,713.5405,638.1202,9000.0000,0,1
C205,C2,double,1,1,0,1,far,0,4,10640.6093,1451.3267,189.2825,9000.0000,0,1
C205,C2,double,1,1,0,1,deadline,0,3,9740.3078,740.3078,0.0000,9000.0000,0,1
C205,C2,double,1,2,0,1,far,0,4,11795.2716,1403.6607,1391.6109,9000.0000,0,1
C205,C2,double,1,2,0,1,deadline,0,3,9615.6803,615.6803,0.0000,9000.0000,0,1
C206,C2,trunc,1,1,1,0,far,0,4,9804.7000,700.6000,104.1000,9000.0000,0,1
C206,C2,trunc,1,1,1,0,deadline,0,4,12202.2000,1025.6000,2176.6000,9000.0000,0,1
C206,C2,trunc,1,2,1,0,far,0,3,9723.8000,660.6000,63.2000,9000.0000,0,1
C206,C2,trunc,1,2,1,0,deadline,0,4,10061.6000,876.4000,185.2000,9000.0000,0,1
C206,C2,trunc,1,1,0,1,far,0,4,10326.0000,1324.6000,1.4000,9000.0000,0,1
C206,C2,trunc,1,1,0,1,deadline,0,4,10484.2000,863.2000,621.0000,9000.0000,0,1
C206,C2,trunc,1,2,0,1,far,0,4,10330.9000,1329.5000,1.4000,9000.0000,0,1
C206,C2,trunc,1,2,0,1,deadline,0,3,9774.1000,715.7000,58.4000,9000.0000,0,1
C206,C2,double,1,1,1,0,far,0,4,9806.5489,703.4768,103.0721,9000.0000,0,1
C206,C2,double,1,1,1,0,deadline,0,4,12252.8136,961.9859,2290.8277,9000.0000,0,1
C206,C2,double,1,2,1,0,far,0,3,9726.0478,663.1924,62.8554,9000.0000,0,1
C206,C2,double,1,2,1,0,deadline,0,4,10063.4530,879.2502,184.2027,9000.0000,0,1
C206,C2,double,1,1,0,1,far,0,4,12026.8451,1381.5881,1645.2569,9000.0000,0,1
C206,C2,double,1,1,0,1,deadline,0,4,10486.3658,865.4655,620.9002,9000.0000,0,1
C206,C2,double,1,2,0,1,far,0,4,10333.6451,1332.2607,1.3845,9000.0000,0,1
C206,C2,double,1,2,0,1,deadline,0,3,9788.4155,730.6301,57.7854,9000.0000,0,1
C207,C2,trunc,1,1,1,0,far,0,3,9743.0000,684.3000,58.7000,9000.0000,0,1
C207,C2,trunc,1,1,1,0,deadline,0,3,9925.7000,751.1000,174.6000,9000.0000,0,1
C207,C2,trunc,1,2,1,0,far,0,3,9832.4000,747.1000,85.3000,9000.0000,0,1
C207,C2,trunc,1,2,1,0,deadline,0,3,9833.2000,691.7000,141.5000,9000.0000,0,1
C207,C2,trunc,1,1,0,1,far,0,5,11592.6000,1696.7000,895.9000,9000.0000,0,1
C207,C2,trunc,1,1,0,1,deadline,0,4,9878.9000,836.2000,42.7000,9000.0000,0,1
C207,C2,trunc,1,2,0,1,far,0,5,11798.1000,1780.1000,1018.0000,9000.0000,0,1
C207,C2,trunc,1,2,0,1,deadline,0,4,9713.3000,713.0000,0.3000,9000.0000,0,1
C207,C2,double,1,1,1,0,far,0,3,9745.2514,686.9770,58.2744,9000.0000,0,1
C207,C2,double,1,1,1,0,deadline,0,3,9927.9942,754.3907,173.6035,9000.0000,0,1
C207,C2,double,1,2,1,0,far,0,3,9833.8856,749.5676,84.3180,9000.0000,0,1
C207,C2,double,1,2,1,0,deadline,0,3,9834.3510,694.1626,140.1884,9000.0000,0,1
C207,C2,double,1,1,0,1,far,0,5,11592.8006,1697.2192,895.5814,9000.0000,0,1
C207,C2,double,1,1,0,1,deadline,0,4,9884.6135,841.9641,42.6494,9000.0000,0,1
C207,C2,double,1,2,0,1,far,0,5,11798.7676,1781.5333,1017.2342,9000.0000,0,1
C207,C2,double,1,2,0,1,deadline,0,4,9716.0567,715.7918,0.2649,9000.0000,0,1
C208,C2,trunc,1,1,1,0,far,0,3,9732.2000,686.4000,45.8000,9000.0000,0,1
C208,C2,trunc,1,1,1,0,deadline,0,4,10487.5000,980.5000,507.0000,9000.0000,0,1
C208,C2,trunc,1,2,1,0,far,0,3,9762.7000,717.6000,45.1000,9000.0000,0,1
C208,C2,trunc,1,2,1,0,deadline,0,4,11535.0000,932.8000,1602.2000,9000.0000,0,1
C208,C2,trunc,1,1,0,1,far,0,4,10331.9000,1331.9000,0.0000,9000.0000,0,1
C208,C2,trunc,1,1,0,1,deadline,0,3,9802.2000,802.2000,0.0000,9000.0000,0,1
C208,C2,trunc,1,2,0,1,far,0,4,10469.6000,1299.8000,169.8000,9000.0000,0,1
