algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best,time_mean_ms,iters_mean,improvements_mean,time_to_best_mean_ms,useful_pct_mean
i1,RC102,RC,1,1813.3,1813.3,0.0,15.0,24.42,24.42,0.0,0.0,0.0,,0.0
i1,RC103,RC,1,1544.5,1544.5,0.0,12.0,22.774,22.774,0.0,0.0,0.0,,0.0
i1,RC104,RC,1,1380.6,1380.6,0.0,12.0,21.929,21.929,0.0,0.0,0.0,,0.0
i1,RC105,RC,1,1838.0,1838.0,0.0,16.0,21.424,21.424,0.0,0.0,0.0,,0.0
i1,RC106,RC,1,1726.5,1726.5,0.0,14.0,25.774,25.774,0.0,0.0,0.0,,0.0
i1,RC107,RC,1,1587.4,1587.4,0.0,13.0,31.429,31.429,0.0,0.0,0.0,,0.0
i1,RC108,RC,1,1368.2,1368.2,0.0,11.0,22.797,22.797,0.0,0.0,0.0,,0.0
i1,RC201,RC,2,2025.4,2025.4,0.0,5.0,60.517,60.517,0.0,0.0,0.0,,0.0
i1,RC202,RC,2,1783.8,1783.8,0.0,4.0,63.307,63.307,0.0,0.0,0.0,,0.0
i1,RC203,RC,2,1528.8,1528.8,0.0,4.0,65.508,65.508,0.0,0.0,0.0,,0.0
i1,RC204,RC,2,1254.4,1254.4,0.0,4.0,60.102,60.102,0.0,0.0,0.0,,0.0
i1,RC205,RC,2,2179.4,2179.4,0.0,5.0,88.856,88.856,0.0,0.0,0.0,,0.0
i1,RC206,RC,2,1743.1,1743.1,0.0,4.0,65.836,65.836,0.0,0.0,0.0,,0.0
i1,RC207,RC,2,1565.7,1565.7,0.0,4.0,62.603,62.603,0.0,0.0,0.0,,0.0
i1,RC208,RC,2,1155.9,1155.9,0.0,3.0,48.937,48.937,0.0,0.0,0.0,,0.0
rgrasp,C101,C,1,827.3,827.3,0.0,10.0,0.0,0.0,15187.8,801.0,2.0,9.9,0.06523253850224059
rgrasp,C102,C,1,827.3,827.3,0.0,10.0,0.0,0.0,28755.4,801.4333333333333,2.3333333333333335,33.8,0.11774825457146212
rgrasp,C103,C,1,826.3,826.3,0.0,10.0,0.0,0.0,34900.03333333333,811.3666666666667,3.7333333333333334,476.3333333333333,1.3272364748565424
rgrasp,C104,C,1,822.9,822.9,0.0,10.0,0.0,0.0,32836.03333333333,856.7333333333333,5.166666666666667,2160.5666666666666,6.209631133027122
rgrasp,C105,C,1,827.3,827.3,0.0,10.0,0.0,0.0,17854.2,801.0,2.0,10.166666666666666,0.05699292645617506
rgrasp,C106,C,1,827.3,827.3,0.0,10.0,0.0,0.0,20350.6,801.0,2.0,12.033333333333333,0.05914839901122828
rgrasp,C107,C,1,827.3,827.3,0.0,10.0,0.0,0.0,19900.766666666666,801.0,2.0,9.9,0.049764330480775235
rgrasp,C108,C,1,827.3,827.3,0.0,10.0,0.0,0.0,22704.433333333334,801.6,2.433333333333333,22.4,0.09860213646066937
rgrasp,C109,C,1,827.3,827.3,0.0,10.0,0.0,0.0,23848.633333333335,802.9666666666667,2.7,64.26666666666667,0.26532957326772455
rgrasp,C201,C,2,589.1,589.1,0.0,3.0,0.0,0.0,10796.733333333334,801.0,2.0,10.166666666666666,0.09437773145520106
rgrasp,C202,C,2,589.1,589.1,0.0,3.0,0.0,0.0,36210.3,802.3333333333334,2.7666666666666666,88.16666666666667,0.24455797349179603
rgrasp,C203,C,2,589.0,588.7,1.6431676725154996,3.0,0.05096666666666667,0.0,71652.1,1158.2,5.733333333333333,22049.833333333332,26.83487846801129
rgrasp,C204,C,2,596.7333333333333,588.1,3.7659393052164836,3.0,1.4677666666666667,0.0,107995.56666666667,1503.1666666666667,8.433333333333334,49766.166666666664,41.53565513769354
