config,neighborhoods,instance,family,type,dist,veh,time_ms,gap_pct
sem:Relocate,"oropt,swap,twoopt,cross",R102,R,1,1529.4,19,50,4.2820128187645015
sem:Or-opt,"relocate,swap,twoopt,cross",R102,R,1,1510.8,19,15,3.013773353334246
sem:Swap,"relocate,oropt,twoopt,cross",R102,R,1,1509.5,19,19,2.925132960589124
sem:2-opt,"relocate,oropt,swap,cross",R102,R,1,1509.5,19,19,2.925132960589124
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R102,R,1,1515.5,19,13,3.334242465566623
cumul:Relocate,relocate,R103,R,1,1337.9,16,11,10.689170182841073
cumul:Relocate+Or-opt,"relocate,oropt",R103,R,1,1334.7,16,14,10.424422933730455
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R103,R,1,1312.3,16,23,8.571192189956143
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R103,R,1,1312.3,16,23,8.571192189956143
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R103,R,1,1308.7,16,29,8.273351534706709
sem:Relocate,"oropt,swap,twoopt,cross",R103,R,1,1327.5,16,65,9.828741623231567
sem:Or-opt,"relocate,swap,twoopt,cross",R103,R,1,1309.7,16,23,8.356085050053776
sem:Swap,"relocate,oropt,twoopt,cross",R103,R,1,1308.7,16,36,8.273351534706709
sem:2-opt,"relocate,oropt,swap,cross",R103,R,1,1308.7,16,29,8.273351534706709
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R103,R,1,1312.3,16,23,8.571192189956143
cumul:Relocate,relocate,R104,R,1,1085.5,12,15,11.734431291816778
cumul:Relocate+Or-opt,"relocate,oropt",R104,R,1,1084.7,12,18,11.65208440555842
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R104,R,1,1078.1,12,27,10.972722593926907
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R104,R,1,1078.1,12,27,10.972722593926907
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R104,R,1,1048.4,12,41,7.9155944415851875
sem:Relocate,"oropt,swap,twoopt,cross",R104,R,1,1044.4,12,67,7.50386001029337
sem:Or-opt,"relocate,swap,twoopt,cross",R104,R,1,1040.0,12,34,7.050952135872363
sem:Swap,"relocate,oropt,twoopt,cross",R104,R,1,1064.5,12,42,9.57282552753474
sem:2-opt,"relocate,oropt,swap,cross",R104,R,1,1048.4,12,41,7.9155944415851875
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R104,R,1,1078.1,12,26,10.972722593926907
cumul:Relocate,relocate,R105,R,1,1462.3,15,7,7.894931011584151
cumul:Relocate+Or-opt,"relocate,oropt",R105,R,1,1462.3,15,8,7.894931011584151
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R105,R,1,1451.4,15,12,7.090681030030262
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R105,R,1,1451.4,15,12,7.090681030030262
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R105,R,1,1437.1,15,23,6.035564081753114
sem:Relocate,"oropt,swap,twoopt,cross",R105,R,1,1467.3,15,44,8.263853021471261
sem:Or-opt,"relocate,swap,twoopt,cross",R105,R,1,1437.1,15,17,6.035564081753114
sem:Swap,"relocate,oropt,twoopt,cross",R105,R,1,1423.2,15,31,5.009960894266959
sem:2-opt,"relocate,oropt,swap,cross",R105,R,1,1437.1,15,23,6.035564081753114
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R105,R,1,1451.4,15,12,7.090681030030262
