algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best
rgrasp,RC108,RC,1,1143.6666666666667,1119.8,8.328278926948721,11.066666666666666,2.6447,0.503
rgrasp,RC201,RC,2,1369.0333333333333,1329.9,18.073820528757796,5.633333333333334,8.498433333333333,5.397
rgrasp,RC202,RC,2,1189.05,1151.0,14.255640142135611,5.0,8.857366666666667,5.374
rgrasp,RC203,RC,2,996.09,961.7,15.711413597807802,4.2,7.8369333333333335,4.114
rgrasp,RC204,RC,2,812.1033333333332,798.2,10.745022370713166,4.0,3.6507666666666667,1.876
rgrasp,RC205,RC,2,1258.5266666666669,1236.8,14.691328273399325,5.966666666666667,9.0577,7.175
rgrasp,RC206,RC,2,1110.7233333333331,1086.5,11.880894060556281,4.333333333333333,5.6726,3.368
rgrasp,RC207,RC,2,1028.2633333333333,1015.2,9.590817567298213,4.133333333333334,6.7882,5.432
rgrasp,RC208,RC,2,873.0233333333333,820.3,19.39853679752823,3.566666666666667,12.488566666666665,5.695
tabu,C101,C,1,827.3,827.3,0.0,10.0,0.0,0.0
tabu,C102,C,1,827.3,827.3,0.0,10.0,0.0,0.0
tabu,C103,C,1,826.3,826.3,0.0,10.0,0.0,0.0
tabu,C104,C,1,824.6,824.6,0.0,10.0,0.207,0.207
tabu,C105,C,1,827.3,827.3,0.0,10.0,0.0,0.0
tabu,C106,C,1,827.3,827.3,0.0,10.0,0.0,0.0
tabu,C107,C,1,827.3,827.3,0.0,10.0,0.0,0.0
tabu,C108,C,1,827.3,827.3,0.0,10.0,0.0,0.0
tabu,C109,C,1,827.3,827.3,0.0,10.0,0.0,0.0
tabu,C201,C,2,589.1,589.1,0.0,3.0,0.0,0.0
tabu,C202,C,2,589.1,589.1,0.0,3.0,0.0,0.0
tabu,C203,C,2,588.7,588.7,0.0,3.0,0.0,0.0
tabu,C204,C,2,660.5,660.5,0.0,4.0,12.311,12.311
tabu,C205,C,2,586.4,586.4,0.0,3.0,0.0,0.0
tabu,C206,C,2,586.0,586.0,0.0,3.0,0.0,0.0
tabu,C207,C,2,585.8,585.8,0.0,3.0,0.0,0.0
tabu,C208,C,2,585.8,585.8,0.0,3.0,0.0,0.0
tabu,R101,R,1,1644.3,1644.3,0.0,20.0,0.403,0.403
tabu,R102,R,1,1480.3,1480.3,0.0,19.0,0.934,0.934
tabu,R103,R,1,1255.0,1255.0,0.0,16.0,3.831,3.831
tabu,R104,R,1,1008.4,1008.4,0.0,12.0,3.798,3.798
tabu,R105,R,1,1363.8,1363.8,0.0,15.0,0.627,0.627
tabu,R106,R,1,1268.5,1268.5,0.0,14.0,2.746,2.746
tabu,R107,R,1,1078.6,1078.6,0.0,12.0,1.315,1.315
tabu,R108,R,1,973.9,973.9,0.0,10.0,4.484,4.484
tabu,R109,R,1,1173.1,1173.1,0.0,13.0,2.284,2.284
tabu,R110,R,1,1117.4,1117.4,0.0,12.0,4.625,4.625
tabu,R111,R,1,1079.6,1079.6,0.0,12.0,2.947,2.947
tabu,R112,R,1,992.3,992.3,0.0,11.0,4.607,4.607
tabu,R201,R,2,1231.8,1231.8,0.0,5.0,7.75,7.75
tabu,R202,R,2,1109.8,1109.8,0.0,4.0,7.789,7.789
tabu,R203,R,2,952.2,952.2,0.0,4.0,9.348,9.348
tabu,R204,R,2,817.4,817.4,0.0,4.0,11.774,11.774
tabu,R205,R,2,1040.1,1040.1,0.0,4.0,9.507,9.507
tabu,R206,R,2,951.5,951.5,0.0,3.0,8.631,8.631
tabu,R207,R,2,839.0,839.0,0.0,3.0,5.668,5.668
tabu,R208,R,2,767.7,767.7,0.0,3.0,9.515,9.515
tabu,R209,R,2,937.5,937.5,0.0,4.0,9.675,9.675
tabu,R210,R,2,921.5,921.5,0.0,4.0,2.332,2.332
tabu,R211,R,2,813.6,813.6,0.0,3.0,8.959,8.959
tabu,RC101,RC,1,1663.3,1663.3,0.0,17.0,2.686,2.686
tabu,RC102,RC,1,1480.4,1480.4,0.0,15.0,1.578,1.578
tabu,RC103,RC,1,1305.1,1305.1,0.0,12.0,3.744,3.744
tabu,RC104,RC,1,1178.0,1178.0,0.0,12.0,4.036,4.036
tabu,RC105,RC,1,1514.9,1514.9,0.0,15.0,0.079,0.079
tabu,RC106,RC,1,1416.4,1416.4,0.0,14.0,3.184,3.184
